farmer_id,coop_id,coop_name,farm_size_acres,baseline_irrigation_method,baseline_farm_income_usd,water_source_type,distance_to_market_km
3112,7,Coop_07,1.19,Manual,191.31,Well,3.45
3113,7,Coop_07,0.49,Manual,901.54,River,2.38
3114,7,Coop_07,1.18,Partial Drip,492.74,River,2.2
3115,7,Coop_07,2.96,Manual,248.45,River,3.35
3116,7,Coop_07,2.59,None,275.47,Rain,11.35
3117,7,Coop_07,0.47,Manual,408.15,Borehole,4.29
3118,8,Coop_08,2.63,Partial Drip,320.53,Rain,6.42
3119,8,Coop_08,2.51,Manual,55.2,Well,1.04
3120,8,Coop_08,1.14,None,1568.24,Well,3.77
3121,8,Coop_08,2.19,Partial Drip,336.69,Well,3.8
3122,8,Coop_08,0.39,None,154.5,River,3.98
3123,8,Coop_08,0.8,Manual,1409.48,River,13.26
3124,8,Coop_08,2.53,Drip,200.36,Rain,23.51
3125,8,Coop_08,0.81,None,383.0,Well,0.75
3126,8,Coop_08,2.44,None,433.09,Well,1.03
3127,8,Coop_08,0.9,Manual,267.46,Borehole,8.48
3128,8,Coop_08,1.46,None,516.29,Borehole,3.88
3129,8,Coop_08,1.46,Manual,108.29,Well,11.85
3130,8,Coop_08,1.97,None,66.19,River,6.56
3131,8,Coop_08,2.16,None,330.05,River,7.77
3132,8,Coop_08,0.67,None,686.42,River,0.77
3133,8,Coop_08,0.81,Manual,962.49,Well,0.59
3134,8,Coop_08,2.58,None,323.41,Well,3.88
3135,8,Coop_08,1.59,None,808.37,River,2.12
3136,8,Coop_08,0.75,Partial Drip,1161.89,Rain,2.75
3137,8,Coop_08,1.04,Manual,268.63,River,13.45
3138,8,Coop_08,1.8,Manual,232.17,Rain,5.27
3139,8,Coop_08,2.37,None,196.16,River,12.68
3140,8,Coop_08,2.64,Manual,221.09,Well,2.38
3141,9,Coop_09,1.17,Partial Drip,605.36,Borehole,3.13
3142,9,Coop_09,1.57,Partial Drip,21.46,River,3.01
3143,9,Coop_09,0.64,None,319.51,River,1.63
3144,9,Coop_09,0.86,None,462.07,Rain,2.68
3145,9,Coop_09,0.48,Drip,337.02,Well,1.85
3146,9,Coop_09,1.34,None,207.29,Well,0.19
3147,9,Coop_09,1.55,Manual,718.03,Borehole,6.26
3148,9,Coop_09,1.7,Manual,207.93,Rain,1.0
3149,9,Coop_09,2.62,Partial Drip,598.07,River,19.3
3150,9,Coop_09,2.56,Partial Drip,94.74,Well,1.25
3151,9,Coop_09,0.89,Manual,215.42,River,6.38
3152,9,Coop_09,2.46,Drip,476.33,Borehole,8.87
3153,9,Coop_09,1.34,Manual,190.8,River,5.02
3154,9,Coop_09,2.27,Partial Drip,145.16,River,4.37
3155,9,Coop_09,1.41,Partial Drip,215.76,Borehole,2.26
3156,9,Coop_09,0.34,Partial Drip,684.17,Rain,4.02
3157,9,Coop_09,1.45,None,652.49,Well,3.32
3158,10,Coop_10,0.99,Manual,325.4,River,1.23
3159,10,Coop_10,2.02,None,706.94,Rain,0.63
3160,10,Coop_10,1.84,None,727.77,Well,3.44
3161,10,Coop_10,2.23,None,235.36,River,4.55
3162,10,Coop_10,1.9,Manual,192.77,Well,9.1
3163,10,Coop_10,1.36,Partial Drip,137.55,Well,4.62
3164,10,Coop_10,0.92,None,147.26,River,4.71
3165,10,Coop_10,2.86,None,91.96,Borehole,6.59
3166,10,Coop_10,0.84,None,516.1,Borehole,15.53
3167,10,Coop_10,0.68,Manual,74.83,Well,0.39
3168,10,Coop_10,2.25,Manual,196.24,River,0.4
3169,10,Coop_10,0.26,Drip,1054.47,Rain,2.24
3170,10,Coop_10,0.5,Partial Drip,95.55,Rain,7.1
3171,11,Coop_11,2.34,Manual,278.26,Rain,1.44
3172,11,Coop_11,1.6,None,592.47,Well,6.57
3173,11,Coop_11,0.78,None,369.1,Well,3.21
3174,11,Coop_11,2.62,Partial Drip,639.03,River,2.27
3175,11,Coop_11,1.79,Manual,217.06,River,2.08
3176,11,Coop_11,2.24,None,451.61,Well,6.69
3177,11,Coop_11,1.68,None,42.11,Borehole,0.12
3178,11,Coop_11,2.64,None,355.03,River,0.36
3179,11,Coop_11,0.28,None,691.06,Borehole,3.27
3180,11,Coop_11,1.98,Partial Drip,60.36,Borehole,0.02
3181,11,Coop_11,1.54,None,54.24,Borehole,1.33
3182,11,Coop_11,0.37,None,324.46,Rain,0.66
3183,11,Coop_11,2.88,Partial Drip,397.54,Rain,2.7
3184,11,Coop_11,2.67,Partial Drip,1356.06,Rain,0.34
3185,11,Coop_11,1.35,Partial Drip,189.62,River,3.59
3186,11,Coop_11,0.88,None,196.94,Borehole,8.07
3187,11,Coop_11,1.98,None,209.5,Rain,26.4
3188,12,Coop_12,0.97,Manual,379.08,River,1.27
3189,12,Coop_12,0.87,Manual,332.56,Borehole,9.84
3190,12,Coop_12,1.51,None,288.75,Borehole,9.91
3191,12,Coop_12,2.48,Manual,53.99,River,1.65
3192,12,Coop_12,0.94,None,276.16,Well,1.24
3193,12,Coop_12,2.13,None,360.4,Rain,10.72
3194,12,Coop_12,1.67,Partial Drip,1083.98,Well,1.55
3195,12,Coop_12,2.67,Partial Drip,593.23,Well,0.86
3196,12,Coop_12,0.69,None,422.31,Well,10.64
3197,12,Coop_12,2.65,None,195.78,Borehole,8.57
3198,12,Coop_12,0.88,Partial Drip,164.76,Well,4.8
3199,12,Coop_12,2.95,Manual,609.21,Rain,0.05
3200,12,Coop_12,2.5,None,743.07,River,13.44
3201,12,Coop_12,0.53,Partial Drip,275.96,Borehole,14.72
3202,12,Coop_12,0.71,Partial Drip,276.49,Rain,0.23
3203,12,Coop_12,2.65,Drip,208.84,River,0.34
3204,12,Coop_12,2.51,None,440.52,River,5.75
3205,12,Coop_12,1.48,None,105.95,Well,1.77
3206,12,Coop_12,2.56,Partial Drip,289.51,River,1.6
3207,12,Coop_12,2.86,None,530.98,River,16.69
3208,12,Coop_12,2.34,None,308.38,Borehole,11.23
3209,12,Coop_12,0.88,None,352.86,River,3.19
3210,12,Coop_12,1.74,None,277.54,Well,7.49
3211,12,Coop_12,2.37,Partial Drip,528.35,Well,12.14
3212,12,Coop_12,2.91,None,807.77,Borehole,0.62
